State,City,PD,Black People Killed by Police (1/1/2013-12/31/2019),Hispanic People Killed by Police (1/1/2013-12/31/2019),Native American People Killed by Police (1/1/2013-12/31/2019),Asian People Killed by Police (1/1/2013-12/31/2019),Pacific Islanders Killed by Police (1/1/2013-12/31/2019),White People Killed by Police (1/1/2013-12/31/2019),Unknown Race People Killed by Police (1/1/2013-12/31/2019),All People Killed by Police (1/1/2013-12/31/2019),Total,Black,White,Amer. Indian,Asian,Hawaiian,Asian/Pacific Islander,Other,"Two or
more races",Hispanic,Black-White Dissimilarity Index (2010),"Murder and
nonnegligent manslaughter",Murder Rate,Avg Annual Police Homicide Rate,Avg Annual Police Homicide Rate for Black People,Avg Annual Police Homicide Rate for White People,Avg Annual Police Homicide Rate for Hispanic People,Black-White Disparity,Hispanic-White Disparity,Violent crimes 2013 (if reported by agency),Violent crimes 2014 (if reported by agency),Violent crimes 2015 (if reported by agency),Violent crimes 2016 (if reported by agency),Violent crimes 2017 (if reported by agency),Violent crimes 2018 (if reported by agency),Average Violent Crimes Reported (2013-17),Violent Crime Rate,2013 Total Arrests (UCR Data),2014 Total Arrests,2015 Total Arrests,2016 Total Arrests,2017 Total Arrests,2018 Total Arrests,Estimated Average Arrests per Year,Killings by Police per 10k Arrests
Colorado,Denver,Denver Police Department,1.0,13.0,1.0,2.0,0.0,9.0,4.0,30.0,600158.0,58388.0,313012.0,3525.0,19925.0,495.0,20420.0,1208.0,12640.0,190965.0,54.69,298.0,49.7,7.1,2.4,4.1,9.7,0.0,0.0,4087.0,3983.0,4599.0,4597.0,4774.0,5262.0,4550.3,7.6,22343.0,29752.0,30118.0,29993.0,29372.0,29520.0,0.0,10.1
Michigan,Detroit,Detroit Police Department,7.0,1.0,0.0,0.0,0.0,0.0,5.0,13.0,713777.0,586573.0,55604.0,1927.0,7436.0,82.0,7518.0,994.0,12482.0,48679.0,59.17,21.0,2.9,2.6,1.7,0.0,2.9,0.0,0.0,14504.0,13616.0,11846.0,13705.0,13796.0,13478.0,13490.8,18.9,14737.0,13383.0,10849.0,10883.0,9701.0,10734.0,0.0,11.7
North Carolina,Durham,Durham Police Department,5.0,1.0,0.0,0.0,0.0,1.0,0.0,7.0,228330.0,92285.0,86519.0,611.0,11478.0,129.0,11607.0,616.0,4233.0,32459.0,47.92,21.0,9.2,4.4,7.7,1.7,4.4,0.0,0.0,0.0,1834.0,2185.0,0.0,0.0,0.0,2009.5,8.8,5793.0,5699.0,4663.0,3546.0,3772.0,4596.0,0.0,15.7
Texas,El Paso,El Paso Police Department,2.0,7.0,0.0,0.0,0.0,5.0,2.0,16.0,649121.0,18155.0,92426.0,1633.0,7092.0,737.0,7829.0,543.0,4814.0,523721.0,30.84,12.0,1.8,3.5,15.7,7.7,1.9,0.0,0.0,2522.0,2671.0,2515.0,2682.0,2609.0,2554.0,2592.2,4.0,20469.0,19539.0,18192.0,16874.0,16838.0,16264.0,0.0,9.1
Indiana,Fort Wayne,Fort Wayne Police Department,5.0,1.0,0.0,0.0,0.0,3.0,0.0,9.0,253691.0,38514.0,178436.0,730.0,8279.0,91.0,8370.0,542.0,6899.0,20200.0,54.29,48.0,18.9,5.1,18.5,2.4,7.1,0.0,0.0,949.0,816.0,984.0,1040.0,952.0,1024.0,960.8,3.8,0.0,5331.0,5054.0,5365.0,5694.0,5897.0,0.0,16.5
Texas,Fort Worth,Fort Worth Police Department,9.0,5.0,0.0,0.0,0.0,6.0,7.0,27.0,741206.0,136941.0,309312.0,2481.0,27095.0,615.0,27710.0,993.0,11301.0,252468.0,54.99,1.0,0.1,5.2,9.4,2.8,2.8,0.0,0.0,4440.0,4492.0,4382.0,4515.0,5359.0,4835.0,4670.5,6.3,32694.0,19452.0,26640.0,24587.0,23168.0,19863.0,0.0,11.9
California,Fremont,Fremont Police Department,1.0,1.0,0.0,2.0,0.0,1.0,2.0,7.0,214089.0,6743.0,56766.0,458.0,107679.0,1064.0,108743.0,388.0,9293.0,31698.0,22.04,47.0,22.0,4.7,21.2,2.5,4.5,0.0,0.0,273.0,284.0,337.0,420.0,431.0,502.0,374.5,1.7,2913.0,3040.0,2566.0,2422.0,2405.0,2741.0,0.0,26.6
California,Fresno,Fresno Police Department,1.0,15.0,0.0,2.0,0.0,4.0,1.0,23.0,494665.0,37885.0,148598.0,3127.0,60939.0,663.0,61602.0,984.0,10414.0,232055.0,42.01,5.0,1.0,6.6,3.8,3.8,9.2,0.0,0.0,2552.0,2382.0,2871.0,3206.0,2974.0,2953.0,2823.0,5.7,30580.0,32118.0,25068.0,19212.0,19070.0,22527.0,0.0,9.7
Texas,Garland,Garland Police Department,2.0,1.0,0.0,1.0,0.0,3.0,1.0,8.0,226876.0,32164.0,83259.0,789.0,21162.0,65.0,21227.0,308.0,3345.0,85784.0,25.05,13.0,5.7,5.0,8.9,5.1,1.7,0.0,0.0,514.0,644.0,709.0,767.0,748.0,659.0,673.5,3.0,8597.0,8147.0,7561.0,6973.0,6958.0,7060.0,0.0,10.9
Arizona,Glendale,Glendale Police Department,2.0,3.0,0.0,0.0,0.0,5.0,0.0,10.0,226721.0,12766.0,116866.0,2707.0,8618.0,355.0,8973.0,329.0,4579.0,80501.0,39.14,23.0,10.1,6.3,22.4,6.1,5.3,0.0,0.0,905.0,186.0,943.0,1204.0,1217.0,1167.0,937.0,4.1,4530.0,3477.0,3692.0,0.0,2949.0,5405.0,0.0,25.8
North Carolina,Greensboro,Greensboro Police Department,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,269666.0,108233.0,122888.0,1096.0,10711.0,128.0,10839.0,703.0,5571.0,20336.0,56.62,3.0,1.1,1.6,1.3,1.2,0.0,0.0,0.0,1449.0,1346.0,1707.0,0.0,0.0,0.0,1500.7,5.6,18013.0,16273.0,13601.0,11536.0,13247.0,10665.0,0.0,2.3
Nevada,Henderson,Henderson Police Department,1.0,2.0,0.0,0.0,0.0,3.0,1.0,7.0,257729.0,12471.0,177039.0,1182.0,18172.0,1354.0,19526.0,479.0,8655.0,38377.0,20.75,6.0,2.3,3.9,11.5,2.4,7.4,0.0,0.0,367.0,452.0,476.0,617.0,554.0,583.0,508.2,2.0,9279.0,9139.0,8954.0,9846.0,9414.0,12111.0,0.0,7.1
Florida,Hialeah,Hialeah Police Department,1.0,2.0,0.0,0.0,0.0,1.0,0.0,4.0,224669.0,6066.0,9511.0,73.0,697.0,2.0,699.0,119.0,253.0,69599.0,41.5,16.0,7.1,2.5,23.6,15.0,4.1,0.0,0.0,774.0,782.0,767.0,580.0,473.0,533.0,651.5,2.9,9403.0,8456.0,7950.0,7153.0,5026.0,6160.0,0.0,5.8
Hawaii,Honolulu,Honolulu Police Department,0.0,3.0,0.0,1.0,10.0,4.0,2.0,20.0,953206.0,26690.0,171577.0,517.0,409879.0,91508.0,501387.0,0.0,215424.0,95321.0,30.28,242.0,25.4,3.0,0.0,3.3,4.5,0.0,0.0,0.0,0.0,2437.0,3331.0,2440.0,2451.0,2664.8,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Texas,Houston,Houston Police Department,33.0,19.0,0.0,1.0,0.0,11.0,3.0,67.0,2099451.0,485956.0,537901.0,3528.0,124859.0,711.0,125570.0,4128.0,22700.0,919668.0,68.57,136.0,6.5,4.6,9.7,2.9,3.0,0.0,0.0,20993.0,22008.0,21994.0,23960.0,25609.0,24062.0,23104.3,11.0,85551.0,65821.0,56317.0,57867.0,47449.0,43036.0,0.0,12.4
Indiana,Indianapolis,Indianapolis Metropolitan Police Department,16.0,0.0,0.0,0.0,0.0,10.0,0.0,26.0,820445.0,223053.0,480960.0,1760.0,17053.0,274.0,17327.0,2123.0,17870.0,77352.0,55.87,0.0,0.0,4.5,10.2,3.0,0.0,0.0,0.0,10479.0,10768.0,11124.0,11907.0,11616.0,11170.0,11177.3,13.6,39493.0,33825.0,39620.0,37235.0,40668.0,34286.0,0.0,7.0
California,Irvine,Irvine Police Department,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212375.0,3494.0,95822.0,199.0,82722.0,295.0,83017.0,554.0,9668.0,19621.0,18.75,5.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,113.0,120.0,144.0,152.0,169.0,160.0,143.0,0.7,2742.0,2500.0,2988.0,3337.0,2782.0,2064.0,0.0,0.0
Texas,Irving,Irving Police Department,2.0,2.0,0.0,1.0,0.0,2.0,0.0,7.0,216290.0,25550.0,66559.0,807.0,30161.0,221.0,30382.0,434.0,3591.0,88967.0,36.65,96.0,44.4,4.6,11.2,4.3,3.2,0.0,0.0,530.0,512.0,469.0,521.0,549.0,510.0,515.2,2.4,10329.0,7077.0,5831.0,5281.0,5464.0,5854.0,0.0,11.9
Florida,Jacksonville,Jacksonville Sheriff's Office,20.0,0.0,0.0,0.0,0.0,16.0,3.0,39.0,821784.0,247516.0,452525.0,2687.0,34731.0,668.0,35399.0,1949.0,18223.0,63485.0,47.54,24.0,2.9,6.8,11.5,5.1,0.0,0.0,0.0,5246.0,5853.0,5622.0,5504.0,5648.0,5381.0,5542.3,6.7,25922.0,25439.0,25969.0,24883.0,24313.0,26230.0,0.0,15.4
New Jersey,Jersey City,Jersey City Police Department,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,247597.0,59060.0,53236.0,586.0,58106.0,95.0,58201.0,2423.0,5835.0,68256.0,58.69,78.0,31.5,4.6,19.4,0.0,0.0,0.0,0.0,1655.0,1381.0,1383.0,1276.0,1365.0,1233.0,1382.2,5.6,8239.0,7334.0,7670.0,7732.0,6071.0,2972.0,0.0,12.6
Missouri,Kansas City Missouri,Kansas City Police Department,17.0,0.0,0.0,0.0,1.0,7.0,3.0,28.0,459787.0,135916.0,252257.0,1823.0,11275.0,787.0,12062.0,709.0,11067.0,45953.0,62.23,14.0,3.0,8.7,17.9,4.0,0.0,0.0,0.0,5864.0,5862.0,6709.0,7915.0,8362.0,7842.0,7092.3,15.4,11828.0,12336.0,10886.0,10629.0,10710.0,10796.0,0.0,25.3
Texas,Laredo,Laredo Police Department,0.0,7.0,0.0,0.0,0.0,1.0,0.0,8.0,236091.0,478.0,8086.0,87.0,1313.0,11.0,1324.0,121.0,245.0,225750.0,29.02,122.0,51.7,4.8,0.0,17.7,4.4,0.0,0.0,1027.0,976.0,972.0,940.0,839.0,890.0,940.7,4.0,8202.0,8125.0,8196.0,6945.0,4564.0,5991.0,0.0,11.8
Nevada,Las Vegas,Las Vegas Metropolitan Police Department,12.0,14.0,1.0,1.0,0.0,27.0,4.0,59.0,2027868.0,62008.0,279703.0,2391.0,34606.0,3103.0,37709.0,1101.0,16985.0,183859.0,32.44,20.0,1.0,4.2,27.6,13.8,10.9,0.0,0.0,11374.0,12876.0,14383.0,13520.0,10071.0,9949.0,12028.8,5.9,78230.0,70950.0,65575.0,67664.0,68602.0,75653.0,0.0,8.5
Kentucky,Lexington,Lexington Police Department,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,295803.0,42336.0,216072.0,599.0,9506.0,107.0,9613.0,546.0,6163.0,20474.0,40.93,7.0,2.4,1.4,3.4,1.3,0.0,0.0,0.0,946.0,1041.0,1044.0,1079.0,1131.0,982.0,1037.2,3.5,9189.0,8202.0,13310.0,13034.0,17257.0,19232.0,0.0,2.1
Nebraska,Lincoln,Lincoln Police Department,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,258379.0,9541.0,214739.0,1611.0,9711.0,128.0,9839.0,353.0,6114.0,16182.0,32.16,23.0,8.9,1.7,29.9,0.7,0.0,0.0,0.0,990.0,918.0,1025.0,1006.0,0.0,1045.0,996.8,3.9,13366.0,14839.0,13518.0,13053.0,0.0,12874.0,0.0,2.2
California,Long Beach,Long Beach Police Department,7.0,8.0,0.0,4.0,0.0,5.0,0.0,24.0,462257.0,59925.0,135698.0,1349.0,58268.0,4915.0,63183.0,1118.0,12572.0,188412.0,57.35,260.0,56.2,7.4,16.7,5.3,6.1,0.0,0.0,2346.0,2304.0,2766.0,2846.0,3101.0,3284.0,2774.5,6.0,18346.0,19109.0,15411.0,14726.0,12145.0,13362.0,0.0,16.1
California,Los Angeles,Los Angeles Police Department,27.0,71.0,0.0,2.0,0.0,20.0,3.0,123.0,3792621.0,347380.0,1086908.0,6589.0,420212.0,4300.0,424512.0,12057.0,76353.0,1838822.0,66.91,56.0,1.5,4.6,11.1,2.6,5.5,0.0,0.0,16524.0,19171.0,25156.0,28817.0,30507.0,30126.0,25050.2,6.6,90436.0,83187.0,71732.0,68768.0,64440.0,58688.0,0.0,17.7
Kentucky,Louisville,Louisville Metro Police Department,12.0,0.0,0.0,1.0,0.0,7.0,2.0,22.0,597337.0,135138.0,408157.0,1289.0,12764.0,347.0,13111.0,1018.0,11834.0,26790.0,55.44,12.0,2.0,5.3,12.7,2.5,0.0,0.0,0.0,3644.0,4015.0,4315.0,4638.0,4596.0,4232.0,4240.0,7.1,31716.0,34606.0,41338.0,40838.0,42199.0,41453.0,0.0,5.5
Texas,Lubbock,Lubbock Police Department,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,229573.0,18744.0,127915.0,845.0,5471.0,147.0,5618.0,241.0,2585.0,73625.0,47.23,7.0,3.0,1.9,0.0,0.0,5.8,0.0,0.0,1829.0,2084.0,2391.0,2741.0,0.0,2565.0,2322.0,10.1,8861.0,7695.0,8092.0,7679.0,7129.0,7496.0,0.0,3.9
Wisconsin,Madison,Madison Police Department,3.0,0.0,0.0,0.0,0.0,5.0,0.0,8.0,233209.0,16507.0,176463.0,763.0,17126.0,67.0,17193.0,374.0,5961.0,15948.0,36.64,140.0,60.0,4.9,26.0,4.0,0.0,0.0,0.0,884.0,846.0,890.0,832.0,958.0,1043.0,908.8,3.9,9265.0,9363.0,9382.0,8324.0,7925.0,8016.0,0.0,9.3
Tennessee,Memphis,Memphis Police Department,15.0,1.0,0.0,0.0,0.0,4.0,4.0,24.0,646889.0,408075.0,177735.0,1186.0,10067.0,159.0,10226.0,742.0,6931.0,41994.0,67.86,13.0,2.0,5.3,5.3,3.2,3.4,0.0,0.0,10894.0,11399.0,11449.0,11947.0,13077.0,12674.0,11906.7,18.4,47866.0,39655.0,34280.0,31793.0,30103.0,31342.0,0.0,7.2
Arizona,Mesa,Mesa Police Department,0.0,7.0,2.0,0.0,0.0,14.0,2.0,25.0,439041.0,14101.0,282505.0,8359.0,8174.0,1532.0,9706.0,555.0,8062.0,115753.0,29.54,81.0,18.4,8.1,0.0,7.1,8.6,0.0,0.0,1807.0,2119.0,1972.0,2051.0,2047.0,1837.0,1972.2,4.5,24509.0,24120.0,25723.0,22995.0,24344.0,20800.0,0.0,10.6
Tennessee,Nashville,Metropolitan Nashville Police Department,6.0,2.0,0.0,0.0,0.0,3.0,0.0,11.0,601222.0,169272.0,338782.0,1418.0,18497.0,275.0,18772.0,1155.0,11433.0,60390.0,49.16,90.0,15.0,2.6,5.1,1.3,4.7,0.0,0.0,6612.0,7270.0,7245.0,7371.0,7682.0,7641.0,7303.5,12.1,51672.0,47378.0,45841.0,42771.0,40511.0,35949.0,0.0,2.6
Florida,Miami,Miami Police Department,3.0,6.0,0.0,0.0,0.0,0.0,2.0,11.0,399457.0,64993.0,47622.0,361.0,3649.0,58.0,3707.0,676.0,2642.0,279456.0,75.53,31.0,7.8,3.9,6.6,0.0,3.1,0.0,0.0,4945.0,4473.0,4473.0,3989.0,3338.0,2978.0,4032.7,10.1,31210.0,29208.0,25618.0,24100.0,19213.0,20902.0,0.0,4.6
Wisconsin,Milwaukee,Milwaukee Police Department,14.0,1.0,0.0,0.0,0.0,2.0,0.0,17.0,594833.0,233325.0,220219.0,3408.0,20553.0,195.0,20748.0,819.0,13307.0,103007.0,70.11,41.0,6.9,4.1,8.6,1.3,1.4,0.0,0.0,8194.0,8864.0,9583.0,9201.0,9507.0,8416.0,8960.8,15.1,41870.0,32550.0,27082.0,24185.0,24024.0,19057.0,0.0,6.7
Minneapolis,Minneapolis,Minneapolis Police Department,5.0,1.0,0.0,1.0,0.0,1.0,0.0,8.0,382578.0,69971.0,230650.0,6351.0,21399.0,168.0,21567.0,962.0,13004.0,40073.0,50.92,150.0,39.2,3.0,10.2,0.6,3.6,0.0,0.0,4038.0,4093.0,4395.0,4622.0,4614.0,3395.0,4192.8,11.0,20797.0,17358.0,15019.0,11879.0,11955.0,11652.0,0.0,5.9
Louisiana,New Orleans,New Orleans Police Department,10.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,343829.0,204866.0,104770.0,827.0,9883.0,105.0,9988.0,967.0,4360.0,18051.0,67.63,333.0,96.9,5.0,7.0,2.7,0.0,0.0,0.0,2965.0,3770.0,3736.0,4249.0,4457.0,4611.0,3964.7,11.5,0.0,0.0,17017.0,20589.0,25089.0,23674.0,0.0,5.6
New York,New York,New York Police Department,48.0,10.0,0.0,0.0,0.0,9.0,8.0,75.0,8175133.0,1861295.0,2722904.0,17427.0,1028119.0,2795.0,1030914.0,57841.0,148676.0,2336076.0,81.41,93.0,1.1,1.3,3.7,0.5,0.6,0.0,0.0,52384.0,50564.0,50088.0,49124.0,46433.0,46113.0,49117.7,6.0,393809.0,387727.0,339470.0,314864.0,286225.0,246773.0,0.0,2.4
New Jersey,Newark,Newark Police Department,7.0,1.0,0.0,0.0,0.0,2.0,1.0,11.0,277140.0,138074.0,32122.0,713.0,4318.0,68.0,4386.0,3899.0,4200.0,93746.0,71.19,31.0,11.2,5.7,7.2,8.9,1.5,0.0,0.0,3516.0,3008.0,0.0,2637.0,2543.0,2069.0,2754.6,9.9,13648.0,10192.0,0.0,8490.0,7624.0,7453.0,0.0,13.0
Virginia,Norfolk,Norfolk Police Department,7.0,0.0,0.0,0.0,0.0,4.0,0.0,11.0,242803.0,102452.0,107463.0,935.0,7861.0,359.0,8220.0,471.0,7118.0,16144.0,50.8,12.0,4.9,6.5,9.8,5.3,0.0,0.0,0.0,1418.0,1280.0,1329.0,1616.0,1363.0,1134.0,1356.7,5.6,17611.0,15834.0,12700.0,11870.0,12692.0,13469.0,0.0,8.3
Nevada,North Las Vegas,North Las Vegas Police Department,2.0,3.0,0.0,0.0,0.0,2.0,0.0,7.0,216961.0,41561.0,67687.0,871.0,13122.0,1684.0,14806.0,377.0,7525.0,84134.0,27.1,80.0,36.9,4.6,6.9,4.2,5.1,0.0,0.0,1806.0,1782.0,2130.0,2276.0,2461.0,2386.0,2140.2,9.9,0.0,6922.0,5922.0,5935.0,5750.0,7056.0,0.0,11.1
California,Oakland,Oakland Police Department,7.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0,390724.0,106637.0,101308.0,1214.0,65127.0,2081.0,67208.0,1213.0,14076.0,99068.0,51.89,45.0,11.5,3.3,9.4,2.8,0.0,0.0,0.0,7984.0,6910.0,6051.0,6059.0,5521.0,5480.0,6334.2,16.2,7562.0,9781.0,10850.0,11083.0,10518.0,8971.0,0.0,8.8
Oklahoma,Oklahoma City,Oklahoma City Police Department,24.0,7.0,3.0,0.0,0.0,14.0,0.0,48.0,579999.0,85744.0,328582.0,18208.0,23051.0,464.0,23515.0,700.0,23212.0,100038.0,46.73,32.0,5.5,11.8,40.0,6.1,10.0,0.0,0.0,4998.0,4782.0,4828.0,5027.0,5104.0,5663.0,5067.0,8.7,19330.0,19515.0,19660.0,18574.0,17246.0,15795.0,0.0,26.4
Nebraska,Omaha,Omaha Police Department,6.0,1.0,1.0,0.0,0.0,7.0,0.0,15.0,408958.0,55128.0,278172.0,2263.0,9889.0,253.0,10142.0,806.0,8894.0,53553.0,58.03,15.0,3.7,5.2,15.5,3.6,2.7,0.0,0.0,2449.0,2458.0,2329.0,2531.0,2909.0,2628.0,2550.7,6.2,19407.0,20400.0,0.0,18677.0,0.0,19072.0,0.0,7.7
Florida,Orlando,Orlando Police Department,9.0,5.0,0.0,1.0,0.0,3.0,0.0,18.0,238300.0,63584.0,98533.0,483.0,8756.0,130.0,8886.0,1688.0,4643.0,60483.0,60.99,248.0,104.1,10.8,20.2,4.3,11.8,0.0,0.0,2316.0,2340.0,2525.0,2328.0,2113.0,2282.0,2317.3,9.7,11427.0,11408.0,10650.0,9344.0,9059.0,8727.0,0.0,18.3
Pennsylvania,Philadelphia,Philadelphia Police Department,21.0,0.0,0.0,0.0,0.0,2.0,9.0,32.0,1526006.0,644287.0,562585.0,3498.0,95521.0,457.0,95978.0,4105.0,27942.0,187611.0,73.35,114.0,7.5,3.0,4.7,0.5,0.0,0.0,0.0,17074.0,15925.0,16132.0,15534.0,14930.0,14420.0,15669.2,10.3,86253.0,82799.0,69324.0,53807.0,52689.0,46301.0,0.0,5.2
Arizona,Phoenix,Phoenix Police Department,15.0,41.0,4.0,0.0,0.0,40.0,11.0,111.0,1445632.0,86788.0,672573.0,23327.0,43894.0,2055.0,45949.0,2242.0,24876.0,589877.0,49.89,69.0,4.8,11.0,24.7,8.5,9.9,0.0,0.0,9492.0,8749.0,9261.0,10700.0,12511.0,12110.0,10470.5,7.2,70691.0,59811.0,0.0,44335.0,49958.0,52449.0,0.0,21.5
Pennsylvania,Pittsburgh,Pittsburgh Police Department,6.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,305704.0,78847.0,198186.0,505.0,13393.0,76.0,13469.0,843.0,6890.0,6964.0,56.55,4.0,1.3,3.3,10.9,0.7,0.0,0.0,0.0,2259.0,2455.0,2167.0,2366.0,2008.0,1751.0,2167.7,7.1,17868.0,15406.0,12911.0,11897.0,13534.0,11699.0,0.0,5.3
